Player,Teams,Num of Teams
R Tewatia,"{'Punjab Kings', 'Delhi Capitals', 'Rajasthan Royals', 'Gujarat Titans'}",4
Mohammed Shami,"{'Punjab Kings', 'Kolkata Knight Riders', 'Delhi Capitals', 'Gujarat Titans'}",4
JJ Roy,"{'Kolkata Knight Riders', 'Gujarat Lions', 'Delhi Capitals', 'Sunrisers Hyderabad'}",4
BB Sran,"{'Punjab Kings', 'Mumbai Indians', 'Rajasthan Royals', 'Sunrisers Hyderabad'}",4
CH Morris,"{'Royal Challengers Bangalore', 'Chennai Super Kings', 'Rajasthan Royals', 'Delhi Capitals'}",4
JP Faulkner,"{'Punjab Kings', 'Pune Warriors', 'Rajasthan Royals', 'Gujarat Lions'}",4
JDS Neesham,"{'Punjab Kings', 'Mumbai Indians', 'Rajasthan Royals', 'Delhi Capitals'}",4
MS Gony,"{'Punjab Kings', 'Deccan Chargers', 'Chennai Super Kings', 'Gujarat Lions'}",4
V Shankar,"{'Delhi Capitals', 'Chennai Super Kings', 'Gujarat Titans', 'Sunrisers Hyderabad'}",4
Mandeep Singh,"{'Punjab Kings', 'Royal Challengers Bangalore', 'Kolkata Knight Riders', 'Delhi Capitals'}",4
MM Sharma,"{'Punjab Kings', 'Chennai Super Kings', 'Delhi Capitals', 'Gujarat Titans'}",4
M Vohra,"{'Punjab Kings', 'Royal Challengers Bangalore', 'Rajasthan Royals', 'Lucknow Super Giants'}",4
KL Rahul,"{'Punjab Kings', 'Sunrisers Hyderabad', 'Royal Challengers Bangalore', 'Lucknow Super Giants'}",4
DJ Hooda,"{'Punjab Kings', 'Sunrisers Hyderabad', 'Rajasthan Royals', 'Lucknow Super Giants'}",4
MP Stoinis,"{'Punjab Kings', 'Royal Challengers Bangalore', 'Delhi Capitals', 'Lucknow Super Giants'}",4
GJ Maxwell,"{'Punjab Kings', 'Mumbai Indians', 'Royal Challengers Bangalore', 'Delhi Capitals'}",4
Mustafizur Rahman,"{'Mumbai Indians', 'Rajasthan Royals', 'Delhi Capitals', 'Sunrisers Hyderabad'}",4
SP Goswami,"{'Royal Challengers Bangalore', 'Kolkata Knight Riders', 'Rajasthan Royals', 'Sunrisers Hyderabad'}",4
M Kartik,"{'Punjab Kings', 'Royal Challengers Bangalore', 'Kolkata Knight Riders', 'Pune Warriors'}",4
A Mishra,"{'Lucknow Super Giants', 'Deccan Chargers', 'Delhi Capitals', 'Sunrisers Hyderabad'}",4
RA Jadeja,"{'Kochi Tuskers Kerala', 'Chennai Super Kings', 'Rajasthan Royals', 'Gujarat Lions'}",4
R Bhatia,"{'Rising Pune Supergiant', 'Kolkata Knight Riders', 'Rajasthan Royals', 'Delhi Capitals'}",4
KV Sharma,"{'Mumbai Indians', 'Royal Challengers Bangalore', 'Chennai Super Kings', 'Sunrisers Hyderabad'}",4
DW Steyn,"{'Royal Challengers Bangalore', 'Deccan Chargers', 'Gujarat Lions', 'Sunrisers Hyderabad'}",4
R Vinay Kumar,"{'Mumbai Indians', 'Royal Challengers Bangalore', 'Kolkata Knight Riders', 'Kochi Tuskers Kerala'}",4
KK Nair,"{'Punjab Kings', 'Royal Challengers Bangalore', 'Rajasthan Royals', 'Delhi Capitals'}",4
EJG Morgan,"{'Punjab Kings', 'Royal Challengers Bangalore', 'Kolkata Knight Riders', 'Sunrisers Hyderabad'}",4
RA Tripathi,"{'Kolkata Knight Riders', 'Rajasthan Royals', 'Rising Pune Supergiant', 'Sunrisers Hyderabad'}",4
DT Christian,"{'Delhi Capitals', 'Royal Challengers Bangalore', 'Deccan Chargers', 'Rising Pune Supergiant'}",4
PP Chawla,"{'Punjab Kings', 'Mumbai Indians', 'Kolkata Knight Riders', 'Chennai Super Kings'}",4
SPD Smith,"{'Delhi Capitals', 'Pune Warriors', 'Rajasthan Royals', 'Rising Pune Supergiant'}",4
NM Coulter-Nile,"{'Mumbai Indians', 'Kolkata Knight Riders', 'Rajasthan Royals', 'Delhi Capitals'}",4
