bowler,bowling_team
PVD Chameera,Lucknow Super Giants
Avesh Khan,Lucknow Super Giants
Mohsin Khan (2),Lucknow Super Giants
Ravi Bishnoi,Lucknow Super Giants
KH Pandya,Lucknow Super Giants
DJ Hooda,Lucknow Super Giants
R Shepherd,Sunrisers Hyderabad
Washington Sundar,Sunrisers Hyderabad
TA Boult,Rajasthan Royals
M Prasidh Krishna,Rajasthan Royals
NM Coulter-Nile,Rajasthan Royals
R Ashwin,Rajasthan Royals
YS Chahal,Rajasthan Royals
AJ Tye,Lucknow Super Giants
Mukesh Choudhary,Chennai Super Kings
D Pretorius,Chennai Super Kings
K Rabada,Punjab Kings
NA Saini,Rajasthan Royals
Mustafizur Rahman,Delhi Capitals
V Shankar,Gujarat Titans
R Tewatia,Gujarat Titans
CJ Jordan,Chennai Super Kings
VG Arora,Punjab Kings
JO Holder,Lucknow Super Giants
YBK Jaiswal,Rajasthan Royals
Rasikh Salam,Kolkata Knight Riders
Tilak Varma,Mumbai Indians
K Gowtham,Lucknow Super Giants
DG Nalkande,Gujarat Titans
M Jansen,Sunrisers Hyderabad
AK Markram,Sunrisers Hyderabad
M Theekshana,Chennai Super Kings
JD Unadkat,Mumbai Indians
D Brevis,Mumbai Indians
R Powell,Delhi Capitals
KR Sen,Rajasthan Royals
JR Hazlewood,Royal Challengers Bangalore
JDS Neesham,Rajasthan Royals
Yash Dayal,Gujarat Titans
Shashank Singh,Sunrisers Hyderabad
Aman Hakim Khan,Kolkata Knight Riders
FA Allen,Mumbai Indians
MP Stoinis,Lucknow Super Giants
AS Joseph,Gujarat Titans
OC McCoy,Rajasthan Royals
RP Meredith,Mumbai Indians
HR Shokeen,Mumbai Indians
A Badoni,Lucknow Super Giants
DJ Mitchell,Rajasthan Royals
C Sakariya,Delhi Capitals
Harshit Rana,Kolkata Knight Riders
SS Iyer,Kolkata Knight Riders
PJ Sangwan,Gujarat Titans
K Kartikeya,Mumbai Indians
Simarjeet Singh,Chennai Super Kings
AS Roy,Kolkata Knight Riders
SA Abbott,Sunrisers Hyderabad
Kartik Tyagi,Sunrisers Hyderabad
S Gopal,Sunrisers Hyderabad
MR Marsh,Delhi Capitals
Fazalhaq Farooqi,Sunrisers Hyderabad
MK Lomror,Royal Challengers Bangalore
R Sai Kishore,Gujarat Titans
Ramandeep Singh,Mumbai Indians
PH Solanki,Chennai Super Kings
M Pathirana,Chennai Super Kings
R Sanjay Yadav,Mumbai Indians
S Kaul,Royal Challengers Bangalore
J Little,Gujarat Titans
RS Hangargekar,Chennai Super Kings
SN Thakur,Kolkata Knight Riders
Sikandar Raza,Punjab Kings
Mukesh Kumar,Delhi Capitals
KR Mayers,Lucknow Super Giants
JD Unadkat,Lucknow Super Giants
MA Wood,Lucknow Super Giants
AU Rashid,Sunrisers Hyderabad
KM Asif,Rajasthan Royals
JO Holder,Rajasthan Royals
RJW Topley,Royal Challengers Bangalore
KV Sharma,Royal Challengers Bangalore
MG Bracewell,Royal Challengers Bangalore
Arshad Khan (2),Mumbai Indians
JC Archer,Mumbai Indians
C Green,Mumbai Indians
Yash Thakur,Lucknow Super Giants
BA Stokes,Chennai Super Kings
Suyash Sharma,Kolkata Knight Riders
A Mishra,Lucknow Super Giants
Sandeep Sharma,Rajasthan Royals
M Ashwin,Rajasthan Royals
SSB Magala,Chennai Super Kings
M Markande,Sunrisers Hyderabad
Mohit Rathee,Punjab Kings
WD Parnell,Royal Challengers Bangalore
Akash Singh,Chennai Super Kings
A Zampa,Rajasthan Royals
MM Sharma,Gujarat Titans
MW Short,Punjab Kings
Vijaykumar Vyshak,Royal Challengers Bangalore
Yudhvir Singh,Lucknow Super Giants
Arjun Tendulkar,Mumbai Indians
Duan Jansen,Mumbai Indians
Noor Ahmad,Gujarat Titans
Naveen-ul-Haq,Lucknow Super Giants
K Khejroliya,Kolkata Knight Riders
Mayank Dagar,Sunrisers Hyderabad
J Yadav,Gujarat Titans
D Wiese,Kolkata Knight Riders
VG Arora,Kolkata Knight Riders
Gurnoor Brar,Punjab Kings
AJ Hosein,Sunrisers Hyderabad
Akash Madhwal,Mumbai Indians
R Goyal,Mumbai Indians
T Stubbs,Mumbai Indians
Swapnil Singh,Lucknow Super Giants
Vivrant Sharma,Sunrisers Hyderabad
CJ Jordan,Mumbai Indians
JE Root,Rajasthan Royals
GD Phillips,Sunrisers Hyderabad
Nithish Kumar Reddy,Sunrisers Hyderabad
H Sharma,Royal Challengers Bangalore
